datetime,cloud_cover,month
2025-06-13 15:08:38.944000+00:00,9.87,6
2025-06-13 15:10:06.087000+00:00,12.81,6
2025-06-13 15:09:26.711000+00:00,5.0,6
2025-06-13 15:07:48.298000+00:00,0.44,6
2025-06-13 15:08:05.437000+00:00,1.28,6
2025-06-12 15:14:13.385000+00:00,72.05,6
2025-06-12 15:15:36.073000+00:00,66.98,6
2025-06-12 15:18:31.751000+00:00,66.99,6
2025-06-12 15:16:15.222000+00:00,73.72,6
2025-06-12 15:22:17.367000+00:00,42.35,6
2025-06-12 15:16:19.699000+00:00,31.57,6
2025-06-12 15:26:56.537000+00:00,68.99,6
2025-06-12 15:16:40.353000+00:00,24.07,6
2025-06-12 15:03:41.213000+00:00,5.33,6
2025-06-12 15:15:24.145000+00:00,62.77,6
2025-06-12 15:16:56.121000+00:00,26.83,6
2025-06-12 15:05:04.098000+00:00,35.71,6
2025-06-12 15:16:22.703000+00:00,27.02,6
2025-06-12 15:14:47.155000+00:00,24.97,6
2025-06-12 15:13:46.660000+00:00,18.02,6
2025-06-12 15:17:11.702000+00:00,80.66,6
2025-06-12 15:29:16.924000+00:00,46.46,6
2025-06-12 15:14:29.742000+00:00,16.43,6
2025-06-11 21:23:43.821000+00:00,30.99,6
2025-06-11 21:24:42.525000+00:00,54.11,6
2025-06-11 21:22:44.625000+00:00,64.26,6
2025-06-11 21:23:41.233000+00:00,87.79,6
2025-06-11 21:22:39.390000+00:00,23.61,6
2025-06-11 21:23:02.766000+00:00,51.42,6
2025-06-11 21:23:53.434000+00:00,74.97,6
2025-06-11 21:23:26.559000+00:00,93.96,6
2025-06-11 21:24:14.026000+00:00,69.76,6
2025-06-11 21:24:21.960000+00:00,87.73,6
2025-06-11 21:23:45.800000+00:00,57.2,6
2025-06-11 21:22:25.213000+00:00,99.98,6
2025-06-11 21:34:51.796000+00:00,99.95,6
2025-06-11 21:24:36.837000+00:00,86.08,6
2025-06-11 21:23:40.741000+00:00,99.55,6
2025-06-11 21:23:33.021000+00:00,99.94,6
2025-06-11 21:23:31.600000+00:00,99.7,6
2025-06-11 21:23:11.939000+00:00,99.98,6
2025-06-11 21:23:21.082000+00:00,99.99,6
2025-06-11 21:23:15.863000+00:00,99.98,6
2025-06-11 21:22:32.744000+00:00,99.98,6
2025-06-11 21:23:35.680000+00:00,99.95,6
2025-06-11 21:23:28.016000+00:00,99.97,6
2025-06-11 21:23:05.835000+00:00,83.63,6
2025-06-11 21:34:22.940000+00:00,83.28,6
2025-06-09 16:51:44.211000+00:00,34.56,6
2025-06-09 16:52:48.931000+00:00,54.86,6
2025-06-09 16:55:19.174000+00:00,40.48,6
2025-06-09 16:51:18.025000+00:00,44.54,6
2025-06-09 16:55:50.308000+00:00,43.31,6
2025-06-09 16:51:24.712000+00:00,37.09,6
2025-06-09 16:54:33.555000+00:00,44.72,6
2025-06-09 16:51:47.318000+00:00,42.7,6
2025-06-09 16:51:50.833000+00:00,49.47,6
2025-06-09 16:52:59.190000+00:00,53.95,6
2025-06-09 16:54:50.844000+00:00,62.29,6
2025-06-09 16:53:33.918000+00:00,32.03,6
2025-06-09 16:52:14+00:00,41.11,6
2025-06-09 16:52:08.447000+00:00,51.74,6
2025-06-09 16:54:20.866000+00:00,20.96,6
2025-06-09 16:53:59.247000+00:00,26.48,6
2025-06-09 16:52:46.989000+00:00,39.67,6
2025-06-09 16:53:11.641000+00:00,24.05,6
2025-06-09 16:53:43.682000+00:00,31.31,6
2025-06-09 16:52:51.907000+00:00,42.14,6
2025-06-09 15:01:53.870000+00:00,33.36,6
2025-06-09 15:26:26.168000+00:00,50.51,6
2025-06-09 15:26:33.960000+00:00,58.91,6
2025-06-09 15:27:36.409000+00:00,66.63,6
2025-06-09 15:30:24.889000+00:00,43.59,6
2025-06-09 14:51:29.246000+00:00,28.49,6
2025-06-09 15:27:11.376000+00:00,46.57,6
2025-06-09 15:28:44.068000+00:00,49.52,6
2025-06-09 15:01:48.229000+00:00,38.25,6
2025-06-09 15:28:11.171000+00:00,31.59,6
2025-06-09 15:27:32.565000+00:00,28.72,6
2025-06-09 15:30:45.556000+00:00,20.35,6
2025-06-09 15:01:46.865000+00:00,12.47,6
2025-06-09 15:25:16.313000+00:00,41.16,6
2025-06-09 15:27:53.956000+00:00,27.85,6
2025-06-09 15:26:29.158000+00:00,9.2,6
